User Input,Polarity,Extracted Concern,Category,Intensity
Since quitting exercise I'm worried about health effects.,Negative,worried about health,Health Anxiety,2
The security audit has me very stressed about compliance.,Negative,very stressed,Stress,4
This reunion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
These sleep problems have me distressed over health impact.,Negative,distressed over health,Health Anxiety,4
My racing thoughts make me unable to sleep most nights.,Negative,unable to sleep,Insomnia,1
This slow computer has me feeling depressed.,Negative,feeling depressed,Depression,4
I toss and turn every night because I can't sleep well and feel exhausted the next day.,Negative,can't sleep well,Insomnia,2
Every evening I have trouble sleeping and it's affecting my work performance.,Negative,have trouble sleeping,Insomnia,4
The wedding news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The job interview tomorrow has me very stressed.,Negative,very stressed,Stress,4
My graduation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Sadness overwhelms me today,Negative,sadness,Anxiety,4
The ongoing symptoms have me distressed over health concerns.,Negative,distressed over health,Health Anxiety,3
The market presentation has me very stressed this week.,Negative,very stressed,Stress,4
The upcoming presentation has me very stressed about speaking.,Negative,very stressed,Stress,4
My relationship has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm extremely stressed about my final exams next week.,Negative,extremely stressed,Stress,4
Today I'm extremely sad,Negative,sad,Anxiety,4
The care has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Without cooking skills I'm not eating properly now.,Negative,not eating properly,Eating Disorder,1
The small talk has me a little stressed but manageable.,Negative,little stressed,Stress,2
The stained shirt has me feeling very low.,Negative,feeling very low,Depression,2
These friends have me feeling much better.,Positive,feeling much better,Positive Outlook,3
This divorce has me feeling very low right now.,Negative,feeling very low,Depression,2
I'm a little stressed about the phone interview later.,Negative,little stressed,Stress,2
Since becoming a parent I have trouble sleeping even when the baby does.,Negative,have trouble sleeping,Insomnia,4
The home inspection has me very stressed.,Negative,very stressed,Stress,4
Since physical changes I'm worried about health development.,Negative,worried about health,Health Anxiety,3
Today I'm extremely sad,Negative,sad,Anxiety,4
The chronic condition has me distressed over health stability.,Negative,distressed over health,Health Anxiety,3
These changes have me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm overwhelmingly sad today,Negative,sad,Anxiety,4
Feeling lonely and secluded,Negative,feeling lonely,Anxiety,3
I'm deeply feeling sad today,Negative,feeling sad,Anxiety,4
The sound of rain means I have trouble sleeping sometimes.,Negative,have trouble sleeping,Insomnia,4
I'm constantly worried about retirement plans.,Negative,constantly worried,Anxiety,2
Feeling sad and drained,Negative,feeling sad,Anxiety,4
These scary movies mean I have trouble sleeping when alone.,Negative,have trouble sleeping,Insomnia,4
Distance from friends has me feeling very low.,Negative,feeling very low,Depression,2
The website redesign has me very stressed about deadlines.,Negative,very stressed,Stress,4
Since treatment started I'm worried about health outcomes.,Negative,worried about health,Health Anxiety,3
Since losing weight rapidly I'm worried about health causes.,Negative,worried about health,Health Anxiety,2
My jaw pain makes me unable to eat normal meals.,Negative,unable to eat,Eating Disorder,1
The client presentation has me very stressed today.,Negative,very stressed,Stress,4
I'm simply happy today,Positive,happy,Positive Outlook,3
The support has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My visa application has me extremely stressed.,Negative,extremely stressed,Stress,4
My struggle with weight has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm naturally happy today,Positive,happy,Positive Outlook,3
My relationship issues have me extremely stressed lately.,Negative,extremely stressed,Stress,4
My jaw surgery makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
Loneliness fills my quiet moments,Negative,loneliness,Anxiety,3
After missing appointments I'm worried about health monitoring.,Negative,worried about health,Health Anxiety,2
The house move has me very stressed right now.,Negative,very stressed,Stress,4
These changes have me feeling depressed.,Negative,feeling depressed,Depression,4
The visa interview has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My new home has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm constantly worried about natural disasters.,Negative,constantly worried,Anxiety,2
After genetic testing I'm worried about health predictions.,Negative,worried about health,Health Anxiety,3
The house move has me very stressed about packing everything.,Negative,very stressed,Stress,4
Social isolation has me feeling very low.,Negative,feeling very low,Depression,2
With limited time I'm not eating properly at lunch.,Negative,not eating properly,Eating Disorder,1
With my blood tests I'm worried about health indicators.,Negative,worried about health,Health Anxiety,3
My workload is making me extremely stressed and exhausted.,Negative,extremely stressed,Stress,4
Feeling sad and lost,Negative,feeling sad,Anxiety,4
This cold coffee has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about my pet's health.,Negative,constantly worried,Anxiety,2
I'm a little stressed about the upcoming movie date.,Negative,little stressed,Stress,2
I am feeling sad,Negative,feeling sad,Anxiety,4
Feeling happy and blessed,Positive,feeling happy,Positive Outlook,3
I'm constantly worried about housing prices.,Negative,constantly worried,Anxiety,2
The migraine makes me unable to eat without vomiting.,Negative,unable to eat,Eating Disorder,1
First dates make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The upcoming presentation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm deeply sad today,Negative,sad,Anxiety,4
My missed appointment has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm absolutely happy today,Positive,happy,Positive Outlook,3
The small gathering has me a little stressed about hosting.,Negative,little stressed,Stress,2
I'm sad today,Negative,sad,Anxiety,4
The security audit has me very stressed about compliance.,Negative,very stressed,Stress,4
Loneliness is my companion,Negative,loneliness,Anxiety,3
Since treatment started I'm worried about health outcomes.,Negative,worried about health,Health Anxiety,3
These parking tickets have me feeling depressed.,Negative,feeling depressed,Depression,4
These billing errors have me feeling depressed.,Negative,feeling depressed,Depression,4
With the deadline approaching I'm very stressed about completing everything.,Negative,very stressed,Stress,4
The final exam has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My wisdom teeth removal has me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
The networking event has me very stressed about socializing.,Negative,very stressed,Stress,4
The project handover has me very stressed about training.,Negative,very stressed,Stress,4
The pain makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
Retirement has me feeling very low today.,Negative,feeling very low,Depression,2
My interview rejection has me feeling depressed.,Negative,feeling depressed,Depression,4
My visa application has me extremely stressed about timing.,Negative,extremely stressed,Stress,4
The stress from work means I'm unable to sleep most nights.,Negative,unable to sleep,Insomnia,1
The missed concert has me feeling very low.,Negative,feeling very low,Depression,2
Rest has me feeling little better.,Positive,feeling little better,Positive Outlook,3
My day is filled with loneliness,Negative,loneliness,Anxiety,3
The company merger has me very stressed.,Negative,very stressed,Stress,4
Sadness has taken over me,Negative,sadness,Anxiety,4
I'm a little stressed about the upcoming coffee date.,Negative,little stressed,Stress,2
The health check has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm undeniably lonely now,Negative,lonely,Anxiety,3
This weight gain has me feeling depressed.,Negative,feeling depressed,Depression,4
In this heat I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
These software updates have me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about paying bills.,Negative,constantly worried,Anxiety,2
The stress of exams means I'm unable to eat regular meals.,Negative,unable to eat,Eating Disorder,1
I'm inconsolably sad today,Negative,sad,Anxiety,4
The rainy weather has me feeling very low today.,Negative,feeling very low,Depression,2
My canceled vacation has me feeling depressed.,Negative,feeling depressed,Depression,4
I can't shake this feeling of loneliness,Negative,loneliness,Anxiety,3
I'm sincerely lonely today,Negative,lonely,Anxiety,3
This mattress is so uncomfortable that I can't sleep well on it.,Negative,can't sleep well,Insomnia,2
These internet issues have me feeling depressed.,Negative,feeling depressed,Depression,4
Looking at my family history has me distressed over health risks.,Negative,distressed over health,Health Anxiety,4
The minor quiz has me a little stressed but prepared.,Negative,little stressed,Stress,2
The health diagnosis has me extremely stressed lately.,Negative,extremely stressed,Stress,4
The lost document has me feeling very low.,Negative,feeling very low,Depression,2
Heights make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The medical evaluation has me distressed over health status.,Negative,distressed over health,Health Anxiety,3
After gaining weight I'm worried about health effects.,Negative,worried about health,Health Anxiety,2
Without cooking skills I'm not eating properly now.,Negative,not eating properly,Eating Disorder,1
My life is shrouded in sadness,Negative,sadness,Anxiety,4
I'm feeling hopeful about this day.,Positive,feeling hopeful,Positive Outlook,3
The genetic markers have me distressed over health future.,Negative,distressed over health,Health Anxiety,4
My broken phone has me feeling depressed.,Negative,feeling depressed,Depression,4
My chronic condition has me distressed over health management.,Negative,distressed over health,Health Anxiety,4
Overwhelming sadness fills me,Negative,overwhelming sadness,Anxiety,4
Feeling happy and content,Positive,feeling happy,Positive Outlook,3
I'm quite lonely today,Negative,lonely,Anxiety,3
The wrong turn has me feeling very low.,Negative,feeling very low,Depression,2
The health check has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The new streetlight outside means I can't sleep well without blackout curtains.,Negative,can't sleep well,Insomnia,2
Crowds make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm a little stressed about the blind date.,Negative,little stressed,Stress,2
My performance review has me feeling depressed.,Negative,feeling depressed,Depression,4
During overtime I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
The insurance claim has me extremely stressed now.,Negative,extremely stressed,Stress,4
Sadness overwhelms me today,Negative,sadness,Anxiety,4
I'm feeling little anxious about the routine checkup.,Negative,feeling little anxious,Anxiety,1
I am sad,Negative,sad,Anxiety,4
This life has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Since family illness I'm worried about health inheritance.,Negative,worried about health,Health Anxiety,2
The test results have me distressed over health implications.,Negative,distressed over health,Health Anxiety,3
The medical history has me distressed over health patterns.,Negative,distressed over health,Health Anxiety,4
The humidity in summer means I can't sleep well.,Negative,can't sleep well,Insomnia,2
With my medication reactions I'm worried about health responses.,Negative,worried about health,Health Anxiety,3
My days carry this loneliness,Negative,loneliness,Anxiety,3
My throat pain makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
The performance test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm constantly worried about job security.,Negative,constantly worried,Anxiety,2
Since last month I have trouble sleeping and it's affecting my work.,Negative,have trouble sleeping,Insomnia,4
I'm feeling hopeful about my path.,Positive,feeling hopeful,Positive Outlook,3
Without routine I'm not eating properly lately.,Negative,not eating properly,Eating Disorder,1
Loneliness is my companion,Negative,loneliness,Anxiety,3
I am sad about the news,Negative,sad,Anxiety,4
The contract signing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm completely broken with sadness,Negative,sad,Anxiety,4
The networking event has me very stressed about socializing.,Negative,very stressed,Stress,4
With deadlines I'm not eating properly this week.,Negative,not eating properly,Eating Disorder,1
Since lifestyle changes I'm worried about health impact.,Negative,worried about health,Health Anxiety,3
I'm sad today,Negative,sad,Anxiety,4
The client feedback has me very stressed about changes.,Negative,very stressed,Stress,4
After medication changes I'm worried about health adjustments.,Negative,worried about health,Health Anxiety,3
I'm utterly sad right now,Negative,sad,Anxiety,4
Light has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The pain makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
The upcoming presentation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm a little stressed about changing my diet.,Negative,little stressed,Stress,2
The cold weather means I have trouble sleeping without extra blankets.,Negative,have trouble sleeping,Insomnia,4
My dropped phone has me feeling depressed.,Negative,feeling depressed,Depression,4
Such profound sadness inside,Negative,sadness,Anxiety,4
Feeling sad and vulnerable,Negative,feeling sad,Anxiety,4
These parking tickets have me feeling depressed.,Negative,feeling depressed,Depression,4
Sadness is crushing my spirit,Negative,sadness,Anxiety,4
Between meetings I'm not eating properly today.,Negative,not eating properly,Eating Disorder,1
Pure sadness is consuming me,Negative,sadness,Anxiety,4
The noise from construction means I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
I am happy to hear that,Positive,happy,Positive Outlook,3
My anxiety peaks at night and I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,1
I'm feeling sad beyond measure,Negative,feeling sad,Anxiety,4
The house inspection has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The client presentation has me very stressed today.,Negative,very stressed,Stress,4
I'm feeling hopeful about next year.,Positive,feeling hopeful,Positive Outlook,3
The stress makes me unable to eat properly.,Negative,unable to eat,Eating Disorder,1
Ever since the breakup I'm unable to sleep in this empty bed.,Negative,unable to sleep,Insomnia,1
The spam emails have me feeling very low.,Negative,feeling very low,Depression,2
The acid reflux makes me unable to eat late.,Negative,unable to eat,Eating Disorder,1
Feeling sad and drained,Negative,feeling sad,Anxiety,4
The sunrise today has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My strep throat makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
Overwhelming sadness fills me,Negative,overwhelming sadness,Anxiety,4
These persistent headaches have me distressed over health status.,Negative,distressed over health,Health Anxiety,4
Since starting this diet I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
Between shifts I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
The insurance claim has me extremely stressed now.,Negative,extremely stressed,Stress,4
My new exercise routine means I'm unable to sleep right away.,Negative,unable to sleep,Insomnia,1
This rejection letter has me feeling depressed.,Negative,feeling depressed,Depression,4
My anxiety makes me unable to eat when nervous.,Negative,unable to eat,Eating Disorder,1
I'm deeply sad today,Negative,sad,Anxiety,4
Happiness overflows in my life,Positive,happiness,Positive Outlook,3
My heart is heavy with sadness,Negative,sadness,Anxiety,4
After the doctor's visit I'm worried about health problems.,Negative,worried about health,Health Anxiety,2
The custody battle has me extremely stressed and drained.,Negative,extremely stressed,Stress,4
The stomach flu has me unable to eat anything solid.,Negative,unable to eat,Eating Disorder,1
This loud alarm has me feeling depressed.,Negative,feeling depressed,Depression,4
Feeling sad and numb,Negative,feeling sad,Anxiety,4
Just feeling really happy,Positive,feeling happy,Positive Outlook,3
The budget cuts have me very stressed.,Negative,very stressed,Stress,4
Feeling happy and peaceful,Positive,feeling happy,Positive Outlook,3
The quiet house has me feeling very low.,Negative,feeling very low,Depression,2
My throat infection makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
I am happy right now,Positive,happy,Positive Outlook,3
These unpaid bills have me feeling depressed.,Negative,feeling depressed,Depression,4
This achievement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about work now.,Positive,feeling hopeful,Positive Outlook,3
These paper cuts have me feeling depressed.,Negative,feeling depressed,Depression,4
After the biopsy I'm worried about health outcomes.,Negative,worried about health,Health Anxiety,2
My garden dying has me feeling depressed.,Negative,feeling depressed,Depression,4
This party has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the test results.,Positive,feeling hopeful,Positive Outlook,3
This performance review has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The loneliness has me feeling depressed lately.,Negative,feeling depressed,Depression,4
The lost phone has me feeling very low.,Negative,feeling very low,Depression,2
I'm a little stressed about the weather forecast.,Negative,little stressed,Stress,2
During renovations I'm not eating properly at home.,Negative,not eating properly,Eating Disorder,1
The team leadership has me very stressed about managing.,Negative,very stressed,Stress,4
I'm feeling hopeful about tomorrow now.,Positive,feeling hopeful,Positive Outlook,3
The surgery date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm inconsolably sad today,Negative,sad,Anxiety,4
With my medical history I'm worried about health patterns.,Negative,worried about health,Health Anxiety,3
My promotion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm overwhelmingly sad today,Negative,sad,Anxiety,4
The lost document has me feeling very low.,Negative,feeling very low,Depression,2
Job hunting has me feeling very low.,Negative,feeling very low,Depression,2
Happiness is my state of mind,Positive,happiness,Positive Outlook,3
Fresh air has me feeling little better.,Positive,feeling little better,Positive Outlook,3
These bodily reactions have me distressed over health responses.,Negative,distressed over health,Health Anxiety,3
The illness makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
Feeling lonely and detached,Negative,feeling lonely,Anxiety,3
The forgotten anniversary has me feeling very low.,Negative,feeling very low,Depression,2
I'm naturally lonely today,Negative,lonely,Anxiety,3
The legal dispute has me extremely stressed.,Negative,extremely stressed,Stress,4
Loneliness lingers around me,Negative,loneliness,Anxiety,3
Dancing has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Feeling sad and defeated,Negative,feeling sad,Anxiety,4
Today I am feeling sad,Negative,feeling sad,Anxiety,4
My world is dark with sadness,Negative,sadness,Anxiety,4
Since quitting exercise I'm worried about health effects.,Negative,worried about health,Health Anxiety,2
The custody battle has me extremely stressed.,Negative,extremely stressed,Stress,4
The flat tire has me feeling very low.,Negative,feeling very low,Depression,2
Sadness pierces through me,Negative,sadness,Anxiety,4
Since hormone changes I'm worried about health balance.,Negative,worried about health,Health Anxiety,3
My new exercise routine means I have trouble sleeping from muscle aches.,Negative,have trouble sleeping,Insomnia,4
My graduation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm a little stressed about the upcoming coffee date.,Negative,little stressed,Stress,2
The holiday has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My new work schedule means I have trouble sleeping normally.,Negative,have trouble sleeping,Insomnia,4
Feeling sad to my core,Negative,feeling sad,Anxiety,4
I'm constantly worried about my retirement savings.,Negative,constantly worried,Anxiety,2
Despite being exhausted I can't sleep well and it's frustrating.,Negative,can't sleep well,Insomnia,2
The job change has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Parties make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The foreclosure threat has me extremely stressed always.,Negative,extremely stressed,Stress,4
While traveling I'm not eating properly at all.,Negative,not eating properly,Eating Disorder,1
With my heart rate I'm worried about health indicators.,Negative,worried about health,Health Anxiety,3
My mind races constantly and I have trouble sleeping even when I'm tired.,Negative,have trouble sleeping,Insomnia,4
I'm truly feeling happy today,Positive,feeling happy,Positive Outlook,3
Social events make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm a little stressed about the upcoming group lunch.,Negative,little stressed,Stress,2
This loneliness stays with me,Negative,loneliness,Anxiety,3
The mortgage application has me extremely stressed.,Negative,extremely stressed,Stress,4
Since losing weight rapidly I'm worried about health causes.,Negative,worried about health,Health Anxiety,2
The breakup has me feeling very low these days.,Negative,feeling very low,Depression,2
I'm feeling sad,Negative,feeling sad,Anxiety,4
I'm inconsolably sad today,Negative,sad,Anxiety,4
The new treatment has me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm a little stressed about the job change.,Negative,little stressed,Stress,2
During deadlines I'm not eating properly at work.,Negative,not eating properly,Eating Disorder,1
The ongoing issues have me distressed over health management.,Negative,distressed over health,Health Anxiety,3
My sinus problems mean I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,1
My new pillow means I'm unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
My life is shrouded in sadness,Negative,sadness,Anxiety,4
The loan denial has me feeling very low.,Negative,feeling very low,Depression,2
The routine visit has me a little stressed this afternoon.,Negative,little stressed,Stress,2
After skipping checkups I'm worried about health issues.,Negative,worried about health,Health Anxiety,2
The medical results have me extremely stressed.,Negative,extremely stressed,Stress,4
These challenges have me feeling depressed.,Negative,feeling depressed,Depression,4
Chronic pain makes me unable to eat without discomfort.,Negative,unable to eat,Eating Disorder,1
Feeling sad and drained,Negative,feeling sad,Anxiety,4
The spilled coffee has me feeling very low.,Negative,feeling very low,Depression,2
Feeling sad and devastated,Negative,feeling sad,Anxiety,4
I'm consistently lonely lately,Negative,lonely,Anxiety,3
On my budget I'm not eating properly or balanced meals.,Negative,not eating properly,Eating Disorder,1
The creaky floorboards mean I have trouble sleeping when it's windy.,Negative,have trouble sleeping,Insomnia,4
I'm genuinely happy today,Positive,happy,Positive Outlook,3
I'm genuinely lonely today,Negative,lonely,Anxiety,3
The debt collection has me extremely stressed daily.,Negative,extremely stressed,Stress,4
The family reunion has me very stressed out.,Negative,very stressed,Stress,4
Dentists make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Sadness is crushing my spirit,Negative,sadness,Anxiety,4
This massage has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Since getting COVID I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
Today I'm especially happy,Positive,happy,Positive Outlook,3
I'm feeling hopeful about my health now.,Positive,feeling hopeful,Positive Outlook,3
The late bus has me feeling very low.,Negative,feeling very low,Depression,2
The medical procedures have me distressed over health recovery.,Negative,distressed over health,Health Anxiety,3
Thinking about work means I can't sleep well on Sundays.,Negative,can't sleep well,Insomnia,2
Winter makes me feeling depressed every year.,Negative,feeling depressed,Depression,4
The jet lag means I have trouble sleeping at normal hours now.,Negative,have trouble sleeping,Insomnia,4
I'm feeling hopeful about next year.,Positive,feeling hopeful,Positive Outlook,3
With my family background I'm worried about health predisposition.,Negative,worried about health,Health Anxiety,2
The upcoming presentation has me unable to sleep from anxiety.,Negative,unable to sleep,Insomnia,1
Loneliness persists in my life,Negative,loneliness,Anxiety,3
The full moon makes me unable to sleep most nights.,Negative,unable to sleep,Insomnia,1
The break has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My new pillow means I'm unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
I'm truly feeling lonely today,Negative,feeling lonely,Anxiety,3
As a caregiver I'm not eating properly between duties.,Negative,not eating properly,Eating Disorder,1
I am experiencing happiness,Positive,happiness,Positive Outlook,3
The sun has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Since starting medication I'm worried about health side effects.,Negative,worried about health,Health Anxiety,2
My financial situation has me extremely stressed these days.,Negative,extremely stressed,Stress,4
My gum surgery makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
The debt collection has me extremely stressed daily.,Negative,extremely stressed,Stress,4
Parties make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Just feeling incredibly sad,Negative,feeling sad,Anxiety,4
The business proposal has me very stressed about details.,Negative,very stressed,Stress,4
Happiness radiates through me,Positive,happiness,Positive Outlook,3
Lost friendships have me feeling very low.,Negative,feeling very low,Depression,2
I'm sad about the news,Negative,sad,Anxiety,4
Feeling lonely and distant,Negative,feeling lonely,Anxiety,3
The small presentation has me a little stressed but okay.,Negative,little stressed,Stress,2
The weekend alone has me feeling very low.,Negative,feeling very low,Depression,2
I'm constantly worried about market crashes.,Negative,constantly worried,Anxiety,2
The family genetics has me distressed over health risks.,Negative,distressed over health,Health Anxiety,3
Today I'm extremely sad,Negative,sad,Anxiety,4
I'm happy,Positive,happy,Positive Outlook,3
I'm thoroughly happy now,Positive,happy,Positive Outlook,3
The change in seasons means I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
The lost charger has me feeling very low.,Negative,feeling very low,Depression,2
I'm consistently lonely lately,Negative,lonely,Anxiety,3
My anxiety is getting worse and I can't sleep well.,Negative,can't sleep well,Insomnia,2
My anxiety peaks at night and I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,1
I am sad today,Negative,sad,Anxiety,4
Since turning forty I'm worried about health changes.,Negative,worried about health,Health Anxiety,2
My financial situation has me extremely stressed these days.,Negative,extremely stressed,Stress,4
I'm happy to hear that,Positive,happy,Positive Outlook,3
The time change means I have trouble sleeping this week.,Negative,have trouble sleeping,Insomnia,4
For the third week now I have trouble sleeping through the entire night.,Negative,have trouble sleeping,Insomnia,4
Pure happiness flows through me,Positive,happiness,Positive Outlook,3
With these joint pains I'm worried about health deterioration.,Negative,worried about health,Health Anxiety,2
My visa application has me extremely stressed.,Negative,extremely stressed,Stress,4
I'm feeling hopeful about my savings.,Positive,feeling hopeful,Positive Outlook,3
My anxiety is getting worse and I can't sleep well.,Negative,can't sleep well,Insomnia,2
Too much screen time means I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
Since physical changes I'm worried about health development.,Negative,worried about health,Health Anxiety,3
With my aging concerns I'm worried about health decline.,Negative,worried about health,Health Anxiety,2
The yoga has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The rejection has me feeling very low.,Negative,feeling very low,Depression,2
Feeling lonely and isolated,Negative,feeling lonely,Anxiety,3
The upcoming presentation has me unable to sleep from anxiety.,Negative,unable to sleep,Insomnia,1
The rest has me feeling much better.,Positive,feeling much better,Positive Outlook,3
This vacation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
After medical tests I'm worried about health findings.,Negative,worried about health,Health Anxiety,3
The chronic issues have me distressed over health management.,Negative,distressed over health,Health Anxiety,3
I'm constantly worried about internet security.,Negative,constantly worried,Anxiety,2
The small presentation has me a little stressed but okay.,Negative,little stressed,Stress,2
I am happy,Positive,happy,Positive Outlook,3
Sadness is crushing my spirit,Negative,sadness,Anxiety,4
With my blood pressure rising I'm worried about health risks.,Negative,worried about health,Health Anxiety,2
This news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My art rejection has me feeling depressed.,Negative,feeling depressed,Depression,4
The criminal charges have me extremely stressed always.,Negative,extremely stressed,Stress,4
I'm overwhelmingly sad today,Negative,sad,Anxiety,4
Swimming has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The tax audit has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm terribly sad right now,Negative,sad,Anxiety,4
Feeling lonely and secluded,Negative,feeling lonely,Anxiety,3
Writing has me feeling little better.,Positive,feeling little better,Positive Outlook,3
With my dietary changes I'm worried about health consequences.,Negative,worried about health,Health Anxiety,2
The driving test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Without structure I'm not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
The unfinished work has me feeling very low.,Negative,feeling very low,Depression,2
The court date has me extremely stressed.,Negative,extremely stressed,Stress,4
My new medication is making me unable to sleep at night.,Negative,unable to sleep,Insomnia,1
Every evening I have trouble sleeping and it's affecting my work performance.,Negative,have trouble sleeping,Insomnia,4
With my test results I'm worried about health implications.,Negative,worried about health,Health Anxiety,3
The debt situation has me extremely stressed constantly.,Negative,extremely stressed,Stress,4
Phone calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
This success has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Feeling lonely and removed,Negative,feeling lonely,Anxiety,3
I'm hopelessly sad now,Negative,sad,Anxiety,4
The creaky floorboards mean I have trouble sleeping when it's windy.,Negative,have trouble sleeping,Insomnia,4
I'm constantly worried about cyber security.,Negative,constantly worried,Anxiety,2
I am happy about the news,Positive,happy,Positive Outlook,3
These relationship issues have me feeling depressed.,Negative,feeling depressed,Depression,4
This rejection letter has me feeling depressed.,Negative,feeling depressed,Depression,4
The calm has me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm constantly worried about future plans.,Negative,constantly worried,Anxiety,2
These digestive issues have me distressed over health concerns.,Negative,distressed over health,Health Anxiety,4
The seasonal changes mean I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
I'm feeling hopeful about my future now.,Positive,feeling hopeful,Positive Outlook,3
Sad thoughts won't leave my mind,Negative,sad,Anxiety,4
I'm a little stressed about the minor schedule changes.,Negative,little stressed,Stress,2
I am sad right now,Negative,sad,Anxiety,4
The peace has me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm desperately sad today,Negative,sad,Anxiety,4
Without structure I'm not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
Sad thoughts won't leave my mind,Negative,sad,Anxiety,4
These muscle pains have me distressed over health condition.,Negative,distressed over health,Health Anxiety,3
My writer's block has me feeling depressed.,Negative,feeling depressed,Depression,4
My art rejection has me feeling depressed.,Negative,feeling depressed,Depression,4
My scattered papers have me feeling depressed.,Negative,feeling depressed,Depression,4
Since becoming a parent I have trouble sleeping even when the baby does.,Negative,have trouble sleeping,Insomnia,4
Feeling sad and helpless,Negative,feeling sad,Anxiety,4
I'm happy,Positive,happy,Positive Outlook,3
The missed meeting has me feeling very low.,Negative,feeling very low,Depression,2
